code	name	primary_site	tumour_type	tumour_subtype	countries
BRCA-US	Breast Cancer - TCGA, US	Breast			United States
GBM-US	Brain Glioblastoma Multiforme - TCGA, US	Brain			United States
OV-US	Ovarian Serous Cystadenocarcinoma - TCGA, US	Ovary			United States
BRCA-EU	Breast ER+ and HER2- Cancer - EU/UK	Breast			European Union, United Kingdom
CLLE-ES	Chronic Lymphocytic Leukemia - ES	Blood			Spain
PBCA-DE	Pediatric Brain Cancer - DE	Brain			Germany
KIRC-US	Kidney Renal Clear Cell Carcinoma - TCGA, US	Kidney			United States
UCEC-US	Uterine Corpus Endometrial Carcinoma- TCGA, US	Uterus			United States
THCA-US	Head and Neck Thyroid Carcinoma - TCGA, US	Head and neck			United States
HNSC-US	Head and Neck Squamous Cell Carcinoma - TCGA, US	Head and neck			United States
LUAD-US	Lung Adenocarcinoma - TCGA, US	Lung			United States
COAD-US	Colon Adenocarcinoma - TCGA, US	Colorectal			United States
NBL-US	Neuroblastoma - TARGET, US	Nervous System			United States
STAD-US	Gastric Adenocarcinoma - TCGA, US	Stomach			United States
LGG-US	Brain Lower Grade Glioma - TCGA, US	Brain			United States
SKCM-US	Skin Cutaneous melanoma - TCGA, US	Skin			United States
LUSC-US	Lung Squamous Cell Carcinoma - TCGA, US	Lung			United States
PACA-AU	Pancreatic Cancer - AU	Pancreas			Australia
PRAD-US	Prostate Adenocarcinoma - TCGA, US	Prostate			United States
LIHC-US	Liver Hepatocellular carcinoma - TCGA, US	Liver			United States
PACA-CA	Pancreatic Cancer - CA	Pancreas			Canada
ESAD-UK	Esophageal Adenocarcinoma - UK	Esophagus			United Kingdom
BLCA-US	Bladder Urothelial Cancer - TCGA, US	Bladder			United States
LICA-FR	Liver Cancer - FR	Liver			France
CESC-US	Cervical Squamous Cell Carcinoma - TCGA, US	Cervix			United States
LIRI-JP	Liver Cancer - RIKEN, JP	Liver			Japan
MALY-DE	Malignant Lymphoma - DE	Blood			Germany
LINC-JP	Liver Cancer - NCC, JP	Liver			Japan
BTCA-JP	Biliary Tract Cancer - JP	Gall Bladder			Japan
PRAD-CA	Prostate Adenocarcinoma - CA	Prostate			Canada
ESCA-CN	Esophageal Cancer - CN	Esophagus			China
KIRP-US	Kidney Renal Papillary Cell Carcinoma - TCGA, US	Kidney			United States
ALL-US	Acute Lymphoblastic Leukemia - TARGET, US	Blood			United States
PRAD-UK	Prostate Adenocarcinoma - UK	Prostate			United Kingdom
EOPC-DE	Early Onset Prostate Cancer - DE	Prostate			Germany
LAML-US	Acute Myeloid Leukemia - TCGA, US	Blood			United States
COCA-CN	Colorectal Cancer - CN	Colorectal			China
MELA-AU	Skin Cancer - AU	Skin			Australia
READ-US	Rectum Adenocarcinoma - TCGA, US	Colorectal			United States
LAML-KR	Acute Myeloid Leukemia - KR	Blood			South Korea
LICA-CN	Liver Cancer - CN	Liver			China
AML-US	Acute Myeloid Leukemia - TARGET, US	Blood			United States
BRCA-UK	Breast Triple Negative/Lobular Cancer - UK	Breast			United Kingdom
PAAD-US	Pancreatic Cancer - TCGA, US	Pancreas			United States
CMDI-UK	Chronic Myeloid Disorders - UK	Blood			United Kingdom
BOCA-UK	Bone Cancer - UK	Bone			United Kingdom
ORCA-IN	Oral Cancer - IN	Head and neck			India
THCA-SA	Thyroid Cancer - SA	Head and neck			Saudi Arabia
WT-US	Wilms Tumor - TARGET, US	Kidney			United States
RECA-EU	Renal Cell Cancer - EU/FR	Kidney			European Union, France
BRCA-FR	Breast Cancer - FR	Breast			France
BLCA-CN	Bladder Cancer - CN	Bladder			China
SKCA-BR	Skin Adenocarcinoma - BR	Skin			Brazil
BOCA-FR	Soft Tissue cancer - Ewing sarcoma - FR	Bone			France
OV-AU	Ovarian Cancer - AU	Ovary			Australia
BTCA-SG	Biliary Tract Cancer - SG	Gall Bladder			Singapore
LMS-FR	Soft tissue cancer - Leiomyosarcoma	Mesenchymal			France
LUSC-KR	Lung Cancer - KR	Lung			South Korea
PAEN-AU	Pancreatic Cancer Endocrine neoplasms - AU	Pancreas			Australia
LAML-CN	Leukemia - CN	Blood			China
BRCA-KR	Breast Cancer - KR	Breast			South Korea
GACA-CN	Gastric Cancer - CN	Stomach			China
KICH-US	Kidney Chromophobe - TCGA, US	Kidney			United States
PAEN-IT	Pancreatic Endocrine Neoplasms - IT	Pancreas			Italy
SARC-US	Sarcoma - TCGA, US	Mesenchymal			United States
LIAD-FR	Benign Liver Tumour - FR	Liver			France
PRAD-FR	Prostate Cancer - Adenocarcinoma	Prostate			France
NKTL-SG	Blood Cancer - T-cell and NK-cell lymphoma - SG	Blood			Singapore
UTCA-FR	Uterine Cancer - Carcinosarcoma	Uterus			France
CCSK-US	Clear Cell Sarcomas of the Kidney - TARGET, US	Kidney			United States
LUSC-CN	Lung Cancer - CN	Lung			China
RECA-CN	Renal Cancer - CN	Kidney			China
DLBC-US	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma - TCGA, US	Blood			United States
LIHM-FR	Liver Cancer - Hepatocellular macronodules	Liver			France
GBM-CN	Brain Cancer - CN	Brain			China
THCA-CN	Thyroid Cancer - CN	Head and neck			China
